2026-03-30 18:00:19, EXEC, v:1, k:fup@segundos, mode:FULL, size:10, fail:COMP
2026-03-30 18:00:21, EXEC, v:1, k:fup@segundos, mode:FULL, fail:COMP
2026-03-30 18:00:42, EXEC, v:1, k:fup@segundos, mode:FULL, fail:COMP
2026-03-30 18:02:24, EXEC, v:1, k:fup@segundos, mode:FULL, size:10, fail:COMP
2026-03-30 18:02:25, MOVE, v:1, k:fup@segundos, mode:BACK
2026-03-30 18:02:25, MOVE, v:1, k:fup@segundos, mode:PICK
2026-03-30 18:02:29, EXEC, v:1, k:fup@segundos, mode:FULL, fail:COMP
2026-03-30 18:02:30, EXEC, v:1, k:fup@segundos, mode:FULL, fail:COMP
2026-03-30 18:05:11, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0, size:11
2026-03-30 18:05:13, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0
2026-03-30 18:05:59, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0, size:11
2026-03-30 18:06:00, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0
2026-03-30 18:06:00, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0
2026-03-30 18:06:01, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0
2026-03-30 18:06:25, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0
2026-03-30 18:06:25, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0
2026-03-30 18:06:26, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0
2026-03-30 18:06:26, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0
2026-03-30 18:06:27, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0
2026-03-30 18:06:46, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0, size:11
2026-03-30 18:07:35, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0
2026-03-30 18:08:30, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0, size:11
2026-03-30 18:10:58, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0, size:11
2026-03-30 18:11:14, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0, size:11
2026-03-30 18:11:31, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0, size:11
2026-03-30 18:12:13, EXEC, v:1, k:fup@segundos, mode:FULL, size:11, fail:COMP
2026-03-30 18:13:46, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0, size:11
2026-03-30 18:17:15, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0, size:8
2026-03-30 18:17:30, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0, size:7
2026-03-30 18:17:52, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0, size:7
2026-03-30 18:18:05, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0, size:7
2026-03-30 18:18:21, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0, size:7
2026-03-30 18:19:05, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0
2026-03-30 18:19:06, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0
2026-03-30 18:19:07, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0
2026-03-30 18:19:07, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0
2026-03-30 18:19:08, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0
2026-03-30 18:20:03, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0
2026-03-30 18:20:04, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0
2026-03-30 18:20:04, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0
2026-03-30 18:20:05, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0
2026-03-30 18:20:05, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0
2026-03-30 18:20:06, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0
2026-03-30 18:20:06, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0
2026-03-30 18:20:07, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0
2026-03-30 18:20:07, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0
2026-03-30 18:20:08, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0
2026-03-30 18:20:43, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0
2026-03-30 18:20:44, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0
2026-03-30 18:20:44, EXEC, v:1, k:fup@segundos, mode:FULL, rate:0
2026-03-30 18:20:54, MOVE, v:1, k:fup@segundos, mode:BACK
